segment_id,clean_name,direction,junctions,period,team,flow_diff,flow_pct,flow_iqr,flow_q1,flow_q3,speed_diff,speed_pct,speed_iqr,speed_q1,speed_q3,sample_count
M60 anti-clockwise between J1 and J27 mainCarriageway 115027301,M60 CW,ACW,J1,pre_match,all,1697.5,62.06581352833638,864.75,4058.25,4923.0,-2.0600000000000165,-2.063042988407918,8.823125000000005,91.65875,100.481875,132
M60 anti-clockwise between J1 and J27 mainCarriageway 115027301,M60 CW,ACW,J1,pre_match,united,1683.5,61.553930530164536,731.0,4051.5,4782.5,-1.6424999999999983,-1.644926266242706,6.719375000000014,94.44687499999999,101.16625,66
M60 anti-clockwise between J1 and J27 mainCarriageway 115027301,M60 CW,ACW,J1,pre_match,city,1735.5,63.45521023765996,991.5,4062.25,5053.75,-2.136250000000004,-2.1394056232943632,12.466875000000016,87.62062499999999,100.0875,66
M60 anti-clockwise between J1 and J27 mainCarriageway 115027301,M60 CW,ACW,J1,post_match,all,-56.5,-2.0658135283363803,1962.5,1676.0,3638.5,2.9387499999999847,2.9430910593124704,5.408124999999998,99.58125,104.989375,132
M60 anti-clockwise between J1 and J27 mainCarriageway 115027301,M60 CW,ACW,J1,post_match,united,17.5,0.6398537477148081,1903.5,2023.75,3927.25,2.7549999999999955,2.7590696277008537,7.378749999999997,97.895625,105.27437499999999,66
M60 anti-clockwise between J1 and J27 mainCarriageway 115027301,M60 CW,ACW,J1,post_match,city,-387.0,-14.149908592321756,1900.25,1492.25,3392.5,3.1424999999999983,3.1471420345008867,4.428124999999994,100.230625,104.65875,66
M60 anti-clockwise between J24 and J23 mainCarriageway 115029201,M60 CW,ACW,J24,pre_match,all,1587.0,64.89470455939481,757.5,3700.75,4458.25,-0.2224999999999966,-0.2089888695815494,8.474375000000009,101.204375,109.67875000000001,132
M60 anti-clockwise between J24 and J23 mainCarriageway 115029201,M60 CW,ACW,J24,pre_match,united,1502.5,61.439378450214676,698.0,3649.75,4347.75,1.4862499999999983,1.3959986850138526,5.2281249999999915,104.654375,109.8825,66
M60 anti-clockwise between J24 and J23 mainCarriageway 115029201,M60 CW,ACW,J24,pre_match,city,1765.0,72.17337967695767,724.75,3781.0,4505.75,-1.7574999999999932,-1.6507772507396732,8.853749999999991,99.28687500000001,108.140625,66
M60 anti-clockwise between J24 and J23 mainCarriageway 115029201,M60 CW,ACW,J24,post_match,all,-146.5,-5.990594970353711,1925.5,1399.25,3324.75,2.0849999999999937,1.9583900812473525,5.416250000000005,105.31625,110.7325,132
M60 anti-clockwise between J24 and J23 mainCarriageway 115029201,M60 CW,ACW,J24,post_match,united,-10.0,-0.40891433244735226,2128.0,1428.75,3556.75,1.5275000000000034,1.4347438125205498,5.1200000000000045,105.68625,110.80625,66
M60 anti-clockwise between J24 and J23 mainCarriageway 115029201,M60 CW,ACW,J24,post_match,city,-238.5,-9.752606828869352,1720.5,1395.75,3116.25,2.3599999999999994,2.2166909312919736,5.458750000000009,105.24875,110.70750000000001,66
M60 anti-clockwise between J25 and J24 mainCarriageway 115028101,M60 CW,ACW,J25,pre_match,all,1582.0,64.15247364152474,846.5,3727.25,4573.75,0.17499999999999716,0.16921700872676013,12.275624999999991,94.28625000000001,106.561875,132
M60 anti-clockwise between J25 and J24 mainCarriageway 115028101,M60 CW,ACW,J25,pre_match,united,1540.0,62.4493106244931,725.0,3674.75,4399.75,0.9749999999999943,0.942780477191959,8.100624999999994,98.824375,106.925,66
M60 anti-clockwise between J25 and J24 mainCarriageway 115028101,M60 CW,ACW,J25,pre_match,city,1816.5,73.661800486618,875.75,3839.0,4714.75,-1.9987500000000011,-1.9326999782435283,21.251875,84.803125,106.05499999999999,66
M60 anti-clockwise between J25 and J24 mainCarriageway 115028101,M60 CW,ACW,J25,post_match,all,-98.5,-3.9943227899432276,1877.75,1492.75,3370.5,2.700000000000003,2.6107767060700584,5.47937499999999,102.37125,107.850625,132
M60 anti-clockwise between J25 and J24 mainCarriageway 115028101,M60 CW,ACW,J25,post_match,united,-17.5,-0.7096512570965126,1899.5,1741.5,3641.0,2.739999999999995,2.649454879493311,5.715624999999989,101.545625,107.26124999999999,66
M60 anti-clockwise between J25 and J24 mainCarriageway 115028101,M60 CW,ACW,J25,post_match,city,-299.0,-12.124898621248986,1788.75,1346.25,3135.0,2.674999999999997,2.586602847680515,4.585000000000008,103.41375,107.99875,66
M60 anti-clockwise between J3 and J2 mainCarriageway 115026801,M60 CW,ACW,J3,pre_match,all,1787.0,56.928958266964,936.5,4464.25,5400.75,-2.6837500000000034,-2.688656798657554,11.369375000000005,88.991875,100.36125,132
M60 anti-clockwise between J3 and J2 mainCarriageway 115026801,M60 CW,ACW,J3,pre_match,united,1771.5,56.43517043644473,794.5,4483.25,5277.75,-2.5174999999999983,-2.522102837678762,8.106875000000002,92.15875,100.265625,66
M60 anti-clockwise between J3 and J2 mainCarriageway 115026801,M60 CW,ACW,J3,pre_match,city,1787.0,56.928958266964,1090.75,4414.25,5505.0,-2.791249999999991,-2.7963533448543503,15.317499999999995,85.195625,100.513125,66
M60 anti-clockwise between J3 and J2 mainCarriageway 115026801,M60 CW,ACW,J3,post_match,all,-57.0,-1.8158649251353933,2322.75,1871.0,4193.75,2.865000000000009,2.870238184687063,5.099375000000009,100.080625,105.18,132
M60 anti-clockwise between J3 and J2 mainCarriageway 115026801,M60 CW,ACW,J3,post_match,united,62.5,1.991079961771265,2033.75,2283.75,4317.5,2.825000000000003,2.8301650512184766,6.034374999999997,100.123125,106.1575,66
M60 anti-clockwise between J3 and J2 mainCarriageway 115026801,M60 CW,ACW,J3,post_match,city,-446.5,-14.224275246893917,2184.75,1683.75,3868.5,2.898750000000007,2.9040498910511756,4.01062499999999,100.101875,104.1125,66
M60 clockwise between J12 and J13 mainCarriageway 115016101,M60 CW,CW,J12,pre_match,all,1570.0,32.572614107883815,887.0,5880.75,6767.75,-8.802499999999995,-10.181891790289459,21.970625,62.091875,84.0625,132
M60 clockwise between J12 and J13 mainCarriageway 115016101,M60 CW,CW,J12,pre_match,united,1492.0,30.95435684647303,882.75,5826.5,6709.25,-5.263750000000002,-6.088603568433535,15.79312499999999,68.5825,84.37562499999999,66
M60 clockwise between J12 and J13 mainCarriageway 115016101,M60 CW,CW,J12,pre_match,city,1677.5,34.80290456431535,841.75,5999.5,6841.25,-16.18625,-18.72270900205315,23.04249999999999,60.048125,83.09062499999999,66
M60 clockwise between J12 and J13 mainCarriageway 115016101,M60 CW,CW,J12,post_match,all,434.5,9.014522821576763,2600.75,3808.25,6409.0,-2.893749999999997,-3.3472137879182178,20.813125,71.645,92.458125,132
M60 clockwise between J12 and J13 mainCarriageway 115016101,M60 CW,CW,J12,post_match,united,831.0,17.240663900414937,1725.25,4771.75,6497.0,-7.228750000000005,-8.361528006708891,22.793750000000003,69.0025,91.79625,66
M60 clockwise between J12 and J13 mainCarriageway 115016101,M60 CW,CW,J12,post_match,city,-201.0,-4.1701244813278,3478.5,2716.5,6195.0,0.6912499999999966,0.7995720193169621,18.606250000000017,74.206875,92.81312500000001,66
M60 clockwise between J2 and J3 mainCarriageway 115005301,M60 CW,CW,J2,pre_match,all,1665.5,48.97089091443693,1319.0,4394.0,5713.0,-3.5187500000000114,-3.55842645497296,9.719999999999999,89.10125,98.82124999999999,132
M60 clockwise between J2 and J3 mainCarriageway 115005301,M60 CW,CW,J2,pre_match,united,1879.5,55.26315789473685,1245.25,4678.25,5923.5,-3.8087500000000034,-3.8516964150275603,13.039374999999993,85.384375,98.42375,66
M60 clockwise between J2 and J3 mainCarriageway 115005301,M60 CW,CW,J2,pre_match,city,1458.5,42.884445751249636,1392.0,3963.25,5355.25,-3.0362500000000097,-3.070485917985548,9.690624999999997,89.2675,98.958125,66
M60 clockwise between J2 and J3 mainCarriageway 115005301,M60 CW,CW,J2,post_match,all,-691.0,-20.317553660688034,2461.75,1418.75,3880.5,3.215999999999994,3.252262729433174,6.660000000000011,98.04625,104.70625000000001,132
M60 clockwise between J2 and J3 mainCarriageway 115005301,M60 CW,CW,J2,post_match,united,-716.5,-21.067333137312556,2444.5,1254.0,3698.5,3.394750000000002,3.4330282651564965,7.194374999999994,97.89812500000001,105.0925,66
M60 clockwise between J2 and J3 mainCarriageway 115005301,M60 CW,CW,J2,post_match,city,-675.5,-19.861805351367245,2339.5,1629.25,3968.75,3.1700000000000017,3.205744046114175,6.111249999999998,98.358125,104.469375,66
