match_team,fixture,start_pre_match,end_pre_match,start_post_match,end_post_match
Man United,Man United vs Tottenham,2024-01-14 14:30:00,2024-01-14 16:30:00,2024-01-14 18:30:00,2024-01-14 20:30:00
Man United,Man United vs West Ham,2024-02-04 12:00:00,2024-02-04 14:00:00,2024-02-04 16:00:00,2024-02-04 18:00:00
Man United,Man United vs Fulham,2024-02-24 12:00:00,2024-02-24 14:00:00,2024-02-24 16:00:00,2024-02-24 18:00:00
Man United,Man United vs Everton,2024-03-02 10:30:00,2024-03-02 12:30:00,2024-03-02 14:30:00,2024-03-02 16:30:00
Man United,Man United vs Liverpool (FA Cup QF),2024-03-17 12:30:00,2024-03-17 14:30:00,2024-03-17 16:30:00,2024-03-17 18:30:00
Man United,Man United vs Liverpool,2024-03-30 13:30:00,2024-03-30 15:30:00,2024-03-30 17:30:00,2024-03-30 19:30:00
Man United,Man United vs Sheff Utd,2024-04-24 18:00:00,2024-04-24 20:00:00,2024-04-24 22:00:00,2024-04-25 00:00:00
Man United,Man United vs Burnley,2024-04-27 13:00:00,2024-04-27 15:00:00,2024-04-27 17:00:00,2024-04-27 19:00:00
Man United,Man United vs Arsenal,2024-05-05 14:30:00,2024-05-05 16:30:00,2024-05-05 18:30:00,2024-05-05 20:30:00
Man United,Man United vs Newcastle,2024-05-15 18:00:00,2024-05-15 20:00:00,2024-05-15 22:00:00,2024-05-16 00:00:00
Man United,Man United vs Fulham,2024-08-16 18:00:00,2024-08-16 20:00:00,2024-08-16 22:00:00,2024-08-17 00:00:00
Man United,Man United vs Liverpool,2024-08-24 14:00:00,2024-08-24 16:00:00,2024-08-24 18:00:00,2024-08-24 20:00:00
Man United,Man United vs Barnsley (EFL Cup),2024-09-17 18:00:00,2024-09-17 20:00:00,2024-09-17 22:00:00,2024-09-18 00:00:00
Man United,Man United vs Twente FC (UEL),2024-09-25 18:00:00,2024-09-25 20:00:00,2024-09-25 22:00:00,2024-09-26 00:00:00
Man United,Man United vs Tottenham,2024-09-29 14:30:00,2024-09-29 16:30:00,2024-09-29 18:30:00,2024-09-29 20:30:00
Man United,Man United vs Brentford,2024-10-19 13:00:00,2024-10-19 15:00:00,2024-10-19 17:00:00,2024-10-19 19:00:00
Man United,Man United vs Leicester (EFL Cup),2024-10-30 17:45:00,2024-10-30 19:45:00,2024-10-30 21:45:00,2024-10-30 23:45:00
Man United,Man United vs Chelsea,2024-11-03 14:30:00,2024-11-03 16:30:00,2024-11-03 18:30:00,2024-11-03 20:30:00
Man United,Man United vs PAOK Salonika (UEL),2024-11-07 18:00:00,2024-11-07 20:00:00,2024-11-07 22:00:00,2024-11-08 00:00:00
Man United,Man United vs Leicester,2024-11-10 12:00:00,2024-11-10 14:00:00,2024-11-10 16:00:00,2024-11-10 18:00:00
Man United,Man United vs Bodo/Glimt (UEL),2024-11-28 18:00:00,2024-11-28 20:00:00,2024-11-28 22:00:00,2024-11-29 00:00:00
Man United,Man United vs Everton,2024-12-01 14:30:00,2024-12-01 16:30:00,2024-12-01 18:30:00,2024-12-01 20:30:00
Man United,Man United vs Nottm Forest,2024-12-07 13:00:00,2024-12-07 15:00:00,2024-12-07 17:00:00,2024-12-07 19:00:00
Man United,Man United vs Bournemouth,2024-12-22 12:00:00,2024-12-22 14:00:00,2024-12-22 16:00:00,2024-12-22 18:00:00
Man United,Man United vs Newcastle,2024-12-30 18:00:00,2024-12-30 20:00:00,2024-12-30 22:00:00,2024-12-31 00:00:00
Man City,FA Cup - Huddersfield,2024-01-07 12:00:00,2024-01-07 14:00:00,2024-01-07 16:00:00,2024-01-07 18:00:00
Man City,Premier League - Burnley,2024-01-31 17:30:00,2024-01-31 19:30:00,2024-01-31 21:30:00,2024-01-31 23:30:00
Man City,Premier League - Everton,2024-02-10 10:30:00,2024-02-10 12:30:00,2024-02-10 14:30:00,2024-02-10 16:30:00
Man City,Premier League - Chelsea,2024-02-17 15:30:00,2024-02-17 17:30:00,2024-02-17 19:30:00,2024-02-17 21:30:00
Man City,Premier League - Brentford,2024-02-20 17:30:00,2024-02-20 19:30:00,2024-02-20 21:30:00,2024-02-20 23:30:00
Man City,Premier League - Man Utd,2024-03-03 13:30:00,2024-03-03 15:30:00,2024-03-03 17:30:00,2024-03-03 19:30:00
Man City,Champions League - FC Copenhagen,2024-03-06 18:00:00,2024-03-06 20:00:00,2024-03-06 22:00:00,2024-03-07 00:00:00
Man City,FA Cup - Newcastle,2024-03-16 15:30:00,2024-03-16 17:30:00,2024-03-16 19:30:00,2024-03-16 21:30:00
Man City,Premier League - Arsenal,2024-03-31 14:30:00,2024-03-31 16:30:00,2024-03-31 18:30:00,2024-03-31 20:30:00
Man City,Premier League - Aston Villa,2024-04-03 18:15:00,2024-04-03 20:15:00,2024-04-03 22:15:00,2024-04-04 00:15:00
Man City,Premier League - Luton,2024-04-13 13:00:00,2024-04-13 15:00:00,2024-04-13 17:00:00,2024-04-13 19:00:00
Man City,Champions League - Real Madrid,2024-04-17 18:00:00,2024-04-17 20:00:00,2024-04-17 22:00:00,2024-04-18 00:00:00
Man City,Premier League - Wolves,2024-05-04 15:30:00,2024-05-04 17:30:00,2024-05-04 19:30:00,2024-05-04 21:30:00
Man City,Premier League - West Ham,2024-05-19 14:00:00,2024-05-19 16:00:00,2024-05-19 18:00:00,2024-05-19 20:00:00
Man City,Premier League - Brentford,2024-09-14 13:00:00,2024-09-14 15:00:00,2024-09-14 17:00:00,2024-09-14 19:00:00
Man City,Premier League - Ipswich,2024-09-24 13:00:00,2024-09-24 15:00:00,2024-09-24 17:00:00,2024-09-24 19:00:00
Man City,Champions League - Inter,2024-09-18 18:00:00,2024-09-18 20:00:00,2024-09-18 22:00:00,2024-09-19 00:00:00
Man City,Premier League - Arsenal,2024-09-22 14:30:00,2024-09-22 16:30:00,2024-09-22 18:30:00,2024-09-22 20:30:00
Man City,EFL Cup - Watford,2024-09-24 17:45:00,2024-09-24 19:45:00,2024-09-24 21:45:00,2024-09-24 23:45:00
Man City,Premier League - Fulham,2024-10-05 13:00:00,2024-10-05 15:00:00,2024-10-05 17:00:00,2024-10-05 19:00:00
Man City,Champions League - Sparta Prague,2024-10-23 18:00:00,2024-10-23 20:00:00,2024-10-23 22:00:00,2024-10-24 00:00:00
Man City,Premier League - Southampton,2024-10-26 13:00:00,2024-10-26 15:00:00,2024-10-26 17:00:00,2024-10-26 19:00:00
Man City,Premier League - Tottenham,2024-11-23 15:30:00,2024-11-23 17:30:00,2024-11-23 19:30:00,2024-11-23 21:30:00
Man City,Champions League - Feyenoord,2024-11-26 18:00:00,2024-11-26 20:00:00,2024-11-26 22:00:00,2024-11-27 00:00:00
Man City,Premier League - Nottm Forest,2024-12-04 17:30:00,2024-12-04 19:30:00,2024-12-04 21:30:00,2024-12-04 23:30:00
Man City,Premier League - Man Utd,2024-12-15 14:30:00,2024-12-15 16:30:00,2024-12-15 18:30:00,2024-12-15 20:30:00
Man City,Premier League - Everton,2024-12-26 10:30:00,2024-12-26 12:30:00,2024-12-26 14:30:00,2024-12-26 16:30:00
